"seller_id","seller_city","seller_state","delivered_orders","delayed_pct","avg_late_days","reviewed_orders","avg_review_score","low_score_pct","risk_bucket"
"2709af9587499e95e803a6498a5a56e9","sao paulo","SP","46","50.00","3.48","46","2.57","58.70","High Risk"
"1ca7077d890b907f89be8c954a02686a","santana de parnaiba","SP","127","14.96","5.58","136","2.20","65.44","High Risk"
"54965bbe3e4f07ae045b90b0b8541f52","foz do iguacu","PR","81","32.10","27.31","81","2.94","45.68","High Risk"
"5bc55dbe2f12b6af6d83ed46023e0dc8","coronel fabriciano","MG","21","19.05","11.00","21","2.33","57.14","High Risk"
"ad781527c93d00d89a11eecd9dcad7c1","sao jose do rio preto","SP","38","31.58","12.58","44","3.07","40.91","High Risk"
"2a1348e9addc1af5aaa619b1a3679d6b","belo horizonte","MG","51","29.41","39.27","54","3.00","40.74","High Risk"
"bbad7e518d7af88a0897397ffdca1979","sao paulo","SP","84","22.62","9.68","84","3.04","45.24","High Risk"
"602044f2c16190c2c6e45eb35c2e21cb","ibitinga","SP","55","20.00","8.55","59","2.93","45.76","High Risk"
"ec4608a1f76453166bb312b2968aeaf4","porto ferreira","SP","29","13.79","15.25","35","2.69","51.43","High Risk"
"a49928bcdf77c55c6d6e05e09a9b4ca5","sao paulo","SP","104","21.15","8.95","106","2.95","43.40","High Risk"
"821fb029fc6e495ca4f08a35d51e53a5","sao paulo","SP","25","32.00","7.75","28","3.43","32.14","High Risk"
"2eb70248d66e0e3ef83659f71b244378","campinas","SP","197","11.68","8.52","209","2.71","50.24","High Risk"
"835f0f7810c76831d6c7d24c7a646d4d","sao paulo","SP","48","27.08","5.62","50","3.30","34.00","High Risk"
"054694fa03fe82cec4b7551487331d74","itajobi","SP","21","28.57","35.00","22","3.36","31.82","High Risk"
"ede0c03645598cdfc63ca8237acbe73d","ribeirao preto","SP","47","31.91","10.33","47","3.62","27.66","High Risk"
"f76a3b1349b6df1ee875d1f3fa4340f0","sao paulo","SP","24","29.17","9.00","24","3.46","29.17","High Risk"
"1dfe5347016252a7884b694d4f10f5c4","ibitinga","SP","26","23.08","7.17","26","3.19","34.62","High Risk"
"2e1a7d075abe038c1b2743005fe42ff1","sao paulo","SP","22","27.27","2.83","23","3.70","30.43","High Risk"
"4e5725ba188db8252977a4f0227bd462","ribeirao preto","SP","24","20.83","15.00","25","3.44","36.00","High Risk"
"972d0f9cf61b499a4812cf0bfa3ad3c4","brusque","SC","86","11.63","8.60","84","2.96","44.05","High Risk"
"2a261b5b644fa05f4f2700eb93544f2c","porto ferreira","SP","82","19.51","9.06","83","3.34","36.14","High Risk"
"7f152321c60a266edc53af1925ef96c1","criciuma","SC","20","30.00","17.17","20","3.80","25.00","High Risk"
"8e6d7754bc7e0f22c96d255ebda59eba","sao jose dos campos","SP","129","10.08","11.46","133","3.02","44.36","High Risk"
"4c8b8048e33af2bf94f2eb547746a916","ibitinga","SP","23","13.04","19.00","27","3.11","40.74","High Risk"
"712e6ed8aa4aa1fa65dab41fed5737e4","videira","SC","85","20.00","19.71","87","3.46","33.33","High Risk"
"d3f39f05462b79a4562d35893a28f159","mococa","SP","37","13.51","13.60","38","3.37","39.47","High Risk"
"850913d59ce317156b00f3705f1c3edb","atibaia","SP","30","16.67","5.00","34","3.35","35.29","High Risk"
"8444e55c1f13cd5c179851e5ca5ebd00","congonhal","MG","102","10.78","7.27","109","3.07","40.37","High Risk"
"f08c008c8a8d31417763738a1788a2a8","santa terezinha de itaipu","PR","21","14.29","39.67","22","3.09","36.36","High Risk"
"adcf50477d6a1f5d91bb9d54c4903cb5","claudio","MG","31","16.13","3.60","38","3.13","34.21","High Risk"
"ff69aa92bb6b1bf9b8b7a51c2ed9cf8b","sao paulo","SP","20","20.00","9.75","20","3.65","30.00","High Risk"
"d71d863e5ef30d94e440c11be17dcd8f","osasco","SP","30","10.00","11.33","33","3.24","39.39","High Risk"
"f593898ec748b7a8cb81fc04edafd98a","pedreira","SP","22","18.18","7.00","23","3.48","30.43","High Risk"
"88460e8ebdecbfecb5f9601833981930","maringa","PR","300","16.33","9.80","310","3.35","32.26","High Risk"
"71039d19d4303bf9054d69e9a9236699","sao paulo","SP","38","23.68","4.89","38","3.68","23.68","High Risk"
"5058e8c1e82653974541e83690655b4a","itaquaquecetuba","SP","77","10.39","14.25","76","3.08","36.84","High Risk"
"cac4c8e7b1ca6252d8f20b2fc1a2e4af","indaiatuba","SP","82","18.29","32.53","83","3.52","28.92","High Risk"
"c60b801f2d52c7f7f91de00870882a75","guarulhos","SP","39","15.38","7.83","41","3.32","31.71","High Risk"
"b2479f944e1b90cf8a5de1bbfde284d6","ibitinga","SP","129","11.63","10.93","133","3.29","35.34","High Risk"
"3771c85bac139d2344864ede5d9341e3","sorocaba","SP","30","13.33","1.75","30","3.57","33.33","High Risk"
"ef990a83bbea832f36ebe81376335aa8","joinville","SC","44","20.45","8.00","44","3.66","25.00","High Risk"
"6fd52c528dcb38be2eea044946b811f8","sao paulo","SP","84","10.71","5.22","82","3.50","34.15","High Risk"
"e0878efa0e0b7e5313ac0b43bc04c081","curitiba","PR","28","14.29","12.00","30","3.47","30.00","High Risk"
"ea566164622c6b439516ab18062c42cd","sao  paulo","SP","52","19.23","7.50","52","3.75","25.00","High Risk"
"0725b8c0f3f906e58f70cbe76b7c748c","guarulhos","SP","36","11.11","3.75","40","3.58","32.50","High Risk"
"082e0bf4cb865a6533b1e8e498cc0255","botucatu","SP","23","13.04","6.33","23","3.30","30.43","High Risk"
"1a932caad4f9d804097d7f8e615baed1","sao paulo","SP","30","10.00","6.00","30","3.57","33.33","High Risk"
"6973a06f484aacf400ece213dbf3d946","sao jose dos campos","SP","108","14.81","6.88","116","3.53","28.45","High Risk"
"11bfa66332777660bd0640ee84d47006","ribeirao preto","SP","102","15.69","9.88","103","3.78","27.18","High Risk"
"f63d8f293af3a6454377546bd9dd19ff","votorantim","SP","28","14.29","15.00","28","3.82","28.57","High Risk"
"897060da8b9a21f655304d50fd935913","ribeirao preto","SP","413","11.14","9.85","430","3.40","31.63","High Risk"
"f46490624488d3ff7ce78613913a7711","guarulhos","SP","87","10.34","6.67","91","3.46","31.87","High Risk"
"070d165398b553f3b4b851c216b8a358","sao paulo","SP","38","10.53","10.50","38","3.50","31.58","High Risk"
"b17b679f4f5ce2e03ce6968c62648246","ribeirao preto","SP","51","15.69","9.13","57","3.61","26.32","High Risk"
"5011f0d93373a4c5753adf58ca77af8d","santos","SP","21","19.05","28.00","22","3.55","22.73","High Risk"
"2089a6d640999f9b9141ac719b2af596","sao carlos","SP","41","12.20","12.40","44","3.73","29.55","High Risk"
"8931a84a914b3fe9b1ddaa4d704947ca","sao paulo","SP","32","15.63","8.80","31","3.77","25.81","High Risk"
"d20b021d3efdf267a402c402a48ea64b","ibitinga","SP","102","16.67","15.35","106","3.65","24.53","High Risk"
"99a54764c341d5dc80b4a8fac4eba3fb","sao paulo","SP","66","16.67","2.27","66","3.47","24.24","High Risk"
"891071be6ba827b591264c90c2ae8a63","sao paulo","SP","90","13.33","9.75","99","3.72","27.27","High Risk"
"3fd1e727ba94cfe122d165e176ce7967","araraquara","SP","36","19.44","8.57","38","3.82","21.05","High Risk"
"834f8533b2ecb6598dd004ff3de7203a","sao paulo","SP","45","17.78","9.75","50","3.76","22.00","High Risk"
"cd68562d3f44870c08922d380acae552","ribeirao preto","SP","129","17.83","10.13","131","3.84","21.37","High Risk"
"681fce914360217db47784ae28905a96","araucaria","PR","24","12.50","4.00","23","3.87","26.09","High Risk"
"431af27f296bc6519d890aa5a05fdb11","ribeirao preto","SP","124","13.71","10.00","125","3.78","24.80","High Risk"
"0bf0150d5b9d60d9cd2906003332f085","sao paulo","SP","62","14.52","15.00","59","3.71","23.73","High Risk"
"e5a3438891c0bfdb9394643f95273d8e","limeira","SP","247","15.79","11.41","254","3.81","22.44","High Risk"
"0b35c634521043bf4b47e21547b99ab5","teixeira soares","PR","77","11.69","23.44","77","3.49","25.97","High Risk"
"56642bcb79900e777d68e91915cb4267","sao paulo","SP","56","16.07","15.33","56","3.77","21.43","High Risk"
"cee48807215b30a12ca2ca10ffb5f250","guaruja","SP","40","12.50","8.20","40","3.70","25.00","High Risk"
"e2aee0892199b1d92530e371abd825bf","rolandia","PR","39","12.82","6.40","41","3.80","24.39","High Risk"
"855668e0971d4dfd7bef1b6a4133b41b","itatiba","SP","311","12.54","11.03","324","3.73","24.38","High Risk"
"d97df38225e5abadaff1e72cb72b823c","sao caetano do sul","SP","28","14.29","11.75","27","3.93","22.22","High Risk"
"75d34ebb1bd0bd7dde40dd507b8169c3","salvador","BA","67","11.94","11.63","72","3.82","23.61","High Risk"
"2a61c271b1ac763450d846849783e922","santo andre","SP","22","13.64","8.00","23","3.65","21.74","High Risk"
"e96498ed8daaa3e9c23f7a62da76591c","sao paulo","SP","34","14.71","9.60","34","3.94","20.59","High Risk"
"8160255418d5aaa7dbdc9f4c64ebda44","ibitinga","SP","424","15.09","12.36","429","3.84","20.05","High Risk"
"06579cb253ecd5a3a12a9e6eb6bf8f47","sao paulo - sp","SP","70","10.00","9.43","72","3.76","25.00","High Risk"
"244c2f1bff6afe1f2eaf9bfe9b2aed38","mogi das cruzes","SP","27","14.81","14.25","30","3.70","20.00","High Risk"
"f918546be4bec7104d117789ba758b2b","sao paulo","SP","23","13.04","9.33","23","3.83","21.74","High Risk"
"4aba391bc3b88717ce08eb11e44937b2","arraial d'ajuda (porto seguro)","BA","28","14.29","15.00","30","3.90","20.00","High Risk"
"fffd5413c0700ac820c7069d66d98c89","amparo","SP","58","12.07","5.57","60","3.87","21.67","High Risk"
"903037660cf848a717166eb7a06d616e","sao paulo","SP","59","11.86","13.43","60","3.77","21.67","High Risk"
"23a0ffca143a15b9b5bbdb7d552f626a","sao pedro","SP","24","12.50","5.67","24","3.96","20.83","High Risk"
"c3867b4666c7d76867627c2f7fb22e21","guara","SP","241","10.37","12.76","259","3.85","22.39","High Risk"
"7ad32824caee82087b3e2e5f33b1bf32","ibitinga","SP","180","11.67","7.90","181","3.77","20.99","High Risk"
"318f287a62ab7ac10b703ac37435a231","sao paulo","SP","61","11.48","4.86","62","3.87","20.97","High Risk"
"b1fc4f64df5a0e8b6913ab38803c57a9","sao goncalo","RJ","121","11.57","4.57","119","3.78","20.17","High Risk"
"59b22a78efb79a4797979612b885db36","uberlandia","MG","133","11.28","8.47","132","3.97","20.45","High Risk"
"dd7ddc04e1b6c2c614352b383efe2d36","sao paulo","SP","142","11.27","7.56","142","3.76","20.42","High Risk"
"a673821011d0cec28146ea42f5ab767f","sao paulo","SP","141","10.64","12.07","141","3.89","20.57","High Risk"
"99eaacc9e6046db1c82b163c5f84869f","franca","SP","67","10.45","7.86","70","3.90","20.00","High Risk"
